i getaccept E*A dH rho ddH Q
203 1 4.708020431876885e-01 1.360711123234992e-04 1.000000000000000e+00 NA -0.000000000000000e+00
204 1 4.763795823555542e-01 -5.100221708431718e-05 1.000000000000000e+00 NA -0.000000000000000e+00
205 1 4.682821651803623e-01 5.559618559836110e-05 1.000000000000000e+00 NA -0.000000000000000e+00
206 1 4.725656660053153e-01 -5.572386772634275e-05 1.000000000000000e+00 NA -0.000000000000000e+00
207 1 4.735908046729144e-01 -4.061981300473860e-05 1.000000000000000e+00 NA -0.000000000000000e+00
208 1 4.806967926231355e-01 -1.109557066722999e-04 1.000000000000000e+00 NA -0.000000000000000e+00
209 1 4.694443598714361e-01 1.141054700388722e-04 1.000000000000000e+00 NA -0.000000000000000e+00
210 1 4.645650195636284e-01 6.001112298292810e-05 1.000000000000000e+00 NA -0.000000000000000e+00
211 1 4.776700691348507e-01 -1.554583345200200e-04 1.000000000000000e+00 NA -0.000000000000000e+00
212 1 4.775803349058987e-01 5.152240209493897e-05 1.000000000000000e+00 NA -0.000000000000000e+00
213 1 4.943512419024302e-01 -1.651736431078632e-04 1.000000000000000e+00 NA -0.000000000000000e+00
214 1 4.885164689006137e-01 6.595042848278609e-05 1.000000000000000e+00 NA -0.000000000000000e+00
215 1 4.804920370339943e-01 1.283215074474597e-04 1.000000000000000e+00 NA -0.000000000000000e+00
216 1 4.790325794252627e-01 5.831242006060222e-05 1.000000000000000e+00 NA -0.000000000000000e+00
217 1 4.827226528105387e-01 -1.924180890977567e-05 1.000000000000000e+00 NA -0.000000000000000e+00
218 1 4.779829479676895e-01 2.359370758409085e-05 1.000000000000000e+00 NA -0.000000000000000e+00
219 1 4.792973332907121e-01 -1.942502995344597e-05 1.000000000000000e+00 NA -0.000000000000000e+00
220 1 4.849681211943187e-01 -9.695449914293164e-05 1.000000000000000e+00 NA -0.000000000000000e+00
221 1 4.833786509662263e-01 -1.392731144989057e-05 1.000000000000000e+00 NA -0.000000000000000e+00
